,DrugName,ActiveIngredient
6969,STAVUDINE; LAMIVUDINE W/NEVIRAPINE,STAVUDINE; LAMIVUDINE; NEVIRAPINE
6970,LOPERAMIDE HYDROCHLORIDE,LOPERAMIDE HYDROCHLORIDE
6972,ULORIC,FEBUXOSTAT
6975,HYLENEX RECOMBINANT,HYALURONIDASE RECOMBINANT HUMAN
6979,PATANASE,OLOPATADINE HYDROCHLORIDE
6980,NEVANAC,NEPAFENAC
6981,LYBREL,ETHINYL ESTRADIOL; LEVONORGESTREL
6985,LOESTRIN 24 FE,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
6988,NUVIGIL,ARMODAFINIL
6993,DICLEGIS,DOXYLAMINE SUCCINATE; PYRIDOXINE HYDROCHLORIDE
6994,ARRANON,NELARABINE
6995,LEVEMIR,INSULIN DETEMIR
6996,NUEDEXTA,DEXTROMETHORPHAN HYDROBROMIDE; QUINIDINE SULFATE
6997,REVLIMID,LENALIDOMIDE
7003,MOVIPREP,ASCORBIC ACID; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM ASCORBATE; SODIUM CHLORIDE; SODIUM SULFATE
7004,EXJADE,DEFERASIROX
7007,DALVANCE,DALBAVANCIN HYDROCHLORIDE
7008,IPLEX,MECASERMIN RINFABATE RECOMBINANT
7010,ALLI,ORLISTAT
7011,CHILDREN'S CLARITIN,LORATADINE
7013,OSMOPREP,"SODIUM PHOSPHATE, DIBASIC, ANHYDROUS; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE"
7014,XENAZINE,TETRABENAZINE
7018,VIVITROL,NALTREXONE
7019,VEREGEN,SINECATECHINS
7020,NEOPROFEN,IBUPROFEN LYSINE
7023,AMITIZA,LUBIPROSTONE
7027,NORMOCARB HF 25,MAGNESIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
7028,NORMOCARB HF 35,MAGNESIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
7029,BANZEL,RUFINAMIDE
7032,BROVANA,ARFORMOTEROL TARTRATE
7033,CETRAXAL,CIPROFLOXACIN HYDROCHLORIDE
7036,NAPROXEN SODIUM,NAPROXEN SODIUM
7037,NEXAVAR,SORAFENIB TOSYLATE
7038,TIROSINT,LEVOTHYROXINE SODIUM
7050,DUETACT,GLIMEPIRIDE; PIOGLITAZONE HYDROCHLORIDE
7052,TREXIMET,NAPROXEN SODIUM; SUMATRIPTAN SUCCINATE
7054,CHANTIX,VARENICLINE TARTRATE
7056,SYMBICORT,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE
7058,SPIRIVA RESPIMAT,TIOTROPIUM BROMIDE
7060,ATRIPLA,EFAVIRENZ; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE
7061,SUTENT,SUNITINIB MALATE
7065,"Lamivudine, Zidovudine, Nevirapine Tabs 150mg/300mg/200mg",LAMIVUDINE; ZIDOVUDINE; NEVIRAPINE
7066,LAMIVUDINE; ZIDOVUDINE,LAMIVUDINE; ZIDOVUDINE; EFAVIRENZ
7067,LAMIVUDINE; ZIDOVUDINE; ABACAVIR,LAMIVUDINE; ZIDOVUDINE; ABACAVIR
7068,MAKENA,HYDROXYPROGESTERONE CAPROATE
7069,MAKENA PRESERVATIVE FREE,HYDROXYPROGESTERONE CAPROATE
7071,MAKENA (AUTOINJECTOR),HYDROXYPROGESTERONE CAPROATE
7072,XOLEGEL,KETOCONAZOLE
7073,FENTORA,FENTANYL CITRATE
7080,PULMICORT FLEXHALER,BUDESONIDE
7082,ABSORICA,ISOTRETINOIN
7089,DUTOPROL,HYDROCHLOROTHIAZIDE; METOPROLOL SUCCINATE
7096,LAMISIL AT,TERBINAFINE
7097,ORAPRED ODT,PREDNISOLONE SODIUM PHOSPHATE
7100,SIMVASTATIN,SIMVASTATIN
7105,RELISTOR,METHYLNALTREXONE BROMIDE
7111,LAMIVUDINE; STAVUDINE; NEVIRAPINE,LAMIVUDINE; STAVUDINE; NEVIRAPINE
7113,LAMIVUDINE; ZIDOVUDINE; NEVIRAPINE,LAMIVUDINE; ZIDOVUDINE; NEVIRAPINE
7114,LAMIVUDINE; STAVUDINE,LAMIVUDINE; STAVUDINE
7116,PREZISTA,DARUNAVIR
7122,VYVANSE,LISDEXAMFETAMINE DIMESYLATE
7129,VERDESO,DESONIDE
7130,FLUORESCITE,FLUORESCEIN SODIUM
7131,DUODOTE,ATROPINE; PRALIDOXIME CHLORIDE
7132,TEKTURNA,ALISKIREN HEMIFUMARATE
7134,SPRYCEL,DASATINIB
7140,Lamivudine/Zidovudine 150 mg/300 mg Tablets Co-packaged with Nevirapine 200 mg Tablets,LAMIVUDINE; ZIDOVUDINE; NEVIRAPINE
7141,EXFORGE,AMLODIPINE BESYLATE; VALSARTAN
7145,ZOLINZA,VORINOSTAT
7146,PRISTIQ,DESVENLAFAXINE SUCCINATE
7150,TRAVATAN Z,TRAVOPROST
7151,JANUVIA,SITAGLIPTIN PHOSPHATE
7154,ALAWAY,KETOTIFEN FUMARATE
7156,EDLUAR,ZOLPIDEM TARTRATE
7158,PLAN B ONE-STEP,LEVONORGESTREL
7159,INVEGA,PALIPERIDONE
7164,LIALDA,MESALAMINE
7166,NOXAFIL,POSACONAZOLE
7167,OMNARIS,CICLESONIDE
7169,PERFOROMIST,FORMOTEROL FUMARATE
7170,REQUIP XL,ROPINIROLE HYDROCHLORIDE
7176,ANTHELIOS 40,AVOBENZONE; ECAMSULE; OCTOCRYLENE; TITANIUM DIOXIDE
7179,TYZEKA,TELBIVUDINE
7180,COREG CR,CARVEDILOL PHOSPHATE
7184,OLUX E,CLOBETASOL PROPIONATE
7185,EVAMIST,ESTRADIOL
7188,LAMIVUDINE AND ZIDOVUDINE,LAMIVUDINE; ZIDOVUDINE
7194,EMEND,FOSAPREPITANT DIMEGLUMINE
7196,ACTOPLUS MET XR,METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE
7198,TOTECT,DEXRAZOXANE HYDROCHLORIDE
7199,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE
7203,COSYNTROPIN,COSYNTROPIN
7204,SALONPAS,MENTHOL; METHYL SALICYLATE
7206,TOVIAZ,FESOTERODINE FUMARATE
7208,OMEPRAZOLE,OMEPRAZOLE
7209,LUVOX CR,FLUVOXAMINE MALEATE
7211,SILENOR,DOXEPIN HYDROCHLORIDE
7213,INTUNIV,GUANFACINE HYDROCHLORIDE
7217,DIVIGEL,ESTRADIOL
7218,CYANOKIT,HYDROXOCOBALAMIN
7225,JANUMET,METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE
7228,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
7230,SEROQUEL XR,QUETIAPINE FUMARATE
7235,TRIESENCE,TRIAMCINOLONE ACETONIDE
7236,FLONASE SENSIMIST ALLERGY RELIEF,FLUTICASONE FUROATE
7237,ZYFLO CR,ZILEUTON
7238,ALTABAX,RETAPAMULIN
7239,PRILOSEC,OMEPRAZOLE MAGNESIUM
7241,ENDOMETRIN,PROGESTERONE
7242,SUPPRELIN LA,HISTRELIN ACETATE
7243,TYKERB,LAPATINIB DITOSYLATE
7244,LAMIVUDINE; NEVIRAPINE; ZIDOVUDINE,LAMIVUDINE; NEVIRAPINE; ZIDOVUDINE
7245,MYDAYIS,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
7249,XYZAL,LEVOCETIRIZINE DIHYDROCHLORIDE
7250,IXEMPRA KIT,IXABEPILONE
7254,FLO-PRED,PREDNISOLONE ACETATE
7256,TASIGNA,NILOTINIB HYDROCHLORIDE
7259,ATRALIN,TRETINOIN
7263,SOMATULINE DEPOT,LANREOTIDE ACETATE
7266,NOURIANZ,ISTRADEFYLLINE
7270,LETAIRIS,AMBRISENTAN
7272,EXELON,RIVASTIGMINE
7277,VECTICAL,CALCITRIOL
7278,TORISEL,TEMSIROLIMUS
7279,EOVIST,GADOXETATE DISODIUM
7281,LAMIVUDINE; ZIDOVUDINE; EFAVIRENZ,LAMIVUDINE; ZIDOVUDINE; EFAVIRENZ
7282,STAVUDINE; LAMIVUDINE; EFAVIRENZ,STAVUDINE; LAMIVUDINE; EFAVIRENZ
7283,AZOR,AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL
7288,CALOMIST,CYANOCOBALAMIN
7289,SANCTURA XR,TROSPIUM CHLORIDE
7290,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE
7294,DORIBAX,DORIPENEM
7296,TEKTURNA HCT,ALISKIREN HEMIFUMARATE; HYDROCHLOROTHIAZIDE
7300,APLENZIN,BUPROPION HYDROBROMIDE
7303,VIBATIV,TELAVANCIN HYDROCHLORIDE
7305,ADVIL ALLERGY AND CONGESTION RELIEF,CHLORPHENIRAMINE MALEATE; IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE
7306,ADVIL MULTI-SYMPTOM COLD & FLU,CHLORPHENIRAMINE MALEATE; IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE
7307,ZINGO,LIDOCAINE HYDROCHLORIDE
7308,LAMICTAL XR,LAMOTRIGINE
7315,SAPHRIS,ASENAPINE MALEATE
7318,FENOGLIDE,FENOFIBRATE
7320,AMMONIA N 13,AMMONIA N-13
7321,VOLTAREN ARTHRITIS PAIN,DICLOFENAC SODIUM
7323,RENVELA,SEVELAMER CARBONATE
7324,SELZENTRY,MARAVIROC
7328,ULESFIA,BENZYL ALCOHOL
7329,LASTACAFT,ALCAFTADINE
7330,FLUDARABINE PHOSPHATE,FLUDARABINE PHOSPHATE
7332,CIMDUO,LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE
7333,SYMFI,EFAVIRENZ; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE
7334,ISENTRESS,RALTEGRAVIR POTASSIUM
7335,ISENTRESS HD,RALTEGRAVIR POTASSIUM
7339,FIRAZYR,ICATIBANT ACETATE
7340,STAVZOR,VALPROIC ACID
7346,CLEVIPREX,CLEVIDIPINE
7350,ORAVERSE,PHENTOLAMINE MESYLATE
7351,OXALIPLATIN,OXALIPLATIN
7353,LEXISCAN,REGADENOSON
7354,CAMBIA,DICLOFENAC POTASSIUM
7359,ZYPREXA RELPREVV,OLANZAPINE PAMOATE
7362,PERTZYE,PANCRELIPASE (AMYLASE;LIPASE;PROTEASE)
7367,FERAHEME,FERUMOXYTOL
7368,KUVAN,SAPROPTERIN DIHYDROCHLORIDE
7371,TACLONEX,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE HYDRATE
7372,AK-FLUOR 10%,FLUORESCEIN SODIUM
7373,AK-FLUOR 25%,FLUORESCEIN SODIUM
7374,INTELENCE,ETRAVIRINE
7377,FANAPT,ILOPERIDONE
7384,NAVSTEL,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; OXIGLUTATIONE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE
7388,ZOLPIMIST,ZOLPIDEM TARTRATE
7389,SANCUSO,GRANISETRON
7390,BYDUREON,EXENATIDE SYNTHETIC
7391,BYDUREON PEN,EXENATIDE SYNTHETIC
7392,FIRMAGON,DEGARELIX ACETATE
7394,ZIPSOR,DICLOFENAC POTASSIUM
7395,ASTEPRO,AZELASTINE HYDROCHLORIDE
7397,GELNIQUE,OXYBUTYNIN CHLORIDE
7398,GIAZO,BALSALAZIDE DISODIUM
7399,RAPAFLO,SILODOSIN
7403,ZENPEP,PANCRELIPASE (AMYLASE;LIPASE;PROTEASE)
7410,ZIRGAN,GANCICLOVIR
7411,DUREZOL,DIFLUPREDNATE
7413,VALTURNA,ALISKIREN HEMIFUMARATE; VALSARTAN
7415,AVEED,TESTOSTERONE UNDECANOATE
7416,TRIVARIS,TRIAMCINOLONE ACETONIDE
7417,AKTEN,LIDOCAINE HYDROCHLORIDE
7419,TRILIPIX,CHOLINE FENOFIBRATE
7421,BRIDION,SUGAMMADEX SODIUM
7423,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM
7425,DOCETAXEL,DOCETAXEL
7435,SUMAVEL DOSEPRO,SUMATRIPTAN SUCCINATE
7437,LUSEDRA,FOSPROPOFOL DISODIUM
7438,METOZOLV ODT,METOCLOPRAMIDE HYDROCHLORIDE
7440,DUAVEE,"BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED"
7441,TREANDA,BENDAMUSTINE HYDROCHLORIDE
7445,AMPYRA,DALFAMPRIDINE
7446,LAMICTAL ODT,LAMOTRIGINE
7450,NATAZIA,DIENOGEST; ESTRADIOL VALERATE
7451,VIMPAT,LACOSAMIDE
7457,SAVELLA,MILNACIPRAN HYDROCHLORIDE
7462,TOLAK,FLUOROURACIL
7463,VELETRI,EPOPROSTENOL SODIUM
7465,LOSEASONIQUE,ETHINYL ESTRADIOL; LEVONORGESTREL
7466,INVEGA SUSTENNA,PALIPERIDONE PALMITATE
7471,ONSOLIS,FENTANYL CITRATE
7478,COARTEM,ARTEMETHER; LUMEFANTRINE
7479,NESINA,ALOGLIPTIN BENZOATE
7482,OXYCONTIN,OXYCODONE HYDROCHLORIDE
7489,OFORTA,FLUDARABINE PHOSPHATE
7490,SAMSCA,TOLVAPTAN
7493,NICARDIPINE HYDROCHLORIDE,NICARDIPINE HYDROCHLORIDE
7494,NICARDIPINE HYDROCHLORIDE IN 0.9% SODIUM CHLORIDE,NICARDIPINE HYDROCHLORIDE
7497,MEMBRANEBLUE,TRYPAN BLUE
7498,HYCOFENIX,GUAIFENESIN; HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE
7499,ZEGERID OTC,OMEPRAZOLE; SODIUM BICARBONATE
7500,ATAZANAVIR SULFATE AND RITONAVIR,ATAZANAVIR SULFATE; RITONAVIR
7502,KEPPRA XR,LEVETIRACETAM
7504,DEXILANT,DEXLANSOPRAZOLE
7506,BEPREVE,BEPOTASTINE BESILATE
7507,ADREVIEW,IOBENGUANE SULFATE I-123
7508,PROMACTA,ELTROMBOPAG OLAMINE
7514,ABACAVIR SULFATE,ABACAVIR SULFATE
7515,ZIDOVUDINE,ZIDOVUDINE
7516,ABACAVIR SULFATE; LAMIVUDINE,ABACAVIR SULFATE; LAMIVUDINE
7517,LAMIVUDINE; ZIDOVUDINE,LAMIVUDINE; ZIDOVUDINE
7518,NEVIRAPINE TABLETS FOR ORAL SUSPENSION,NEVIRAPINE
7519,APRISO,MESALAMINE
7521,NUCYNTA,TAPENTADOL HYDROCHLORIDE
7524,PUR-WASH,PURIFIED WATER
7525,SOTALOL HYDROCHLORIDE,SOTALOL HYDROCHLORIDE
7526,EFFIENT,PRASUGREL HYDROCHLORIDE
7528,BESIVANCE,BESIFLOXACIN HYDROCHLORIDE
7533,MOZOBIL,PLERIXAFOR
7536,EXFORGE HCT,AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; VALSARTAN
7541,OZURDEX,DEXAMETHASONE
7544,EPIDUO,ADAPALENE; BENZOYL PEROXIDE
7545,EMBEDA,MORPHINE SULFATE; NALTREXONE HYDROCHLORIDE
7551,NEXTERONE,AMIODARONE HYDROCHLORIDE
7554,PREVACID 24 HR,LANSOPRAZOLE
7555,INTERMEZZO,ZOLPIDEM TARTRATE
7557,JENLOGA,CLONIDINE HYDROCHLORIDE
7559,KAPVAY,CLONIDINE HYDROCHLORIDE
7561,ADCIRCA,TADALAFIL
7562,AFINITOR,EVEROLIMUS
7566,VICTOZA,LIRAGLUTIDE RECOMBINANT
7569,"EFAVIRENZ, LAMIVUDINE AND TENOFOVIR DISOPROXIL FUMARATE",EFAVIRENZ; LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE
7570,LAMIVUDINE AND TENOFOVIR DISOPROXIL FUMARATE,LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE
7571,POTIGA,EZOGABINE
7579,CALDOLOR,IBUPROFEN
7582,ONGLYZA,SAXAGLIPTIN HYDROCHLORIDE
7584,COLCRYS,COLCHICINE
7587,"LAMIVUDINE, ZIDOVUDINE TABS 150MG/300MG CO-PACKAGED WITH NEVIRAPINE TABS 200MG",LAMIVUDINE; ZIDOVUDINE; NEVIRAPINE
7593,LIVALO,PITAVASTATIN CALCIUM
7596,ARIDOL KIT,MANNITOL
7597,ARIDOL,MANNITOL
7600,LATISSE,BIMATOPROST
7601,CONZIP,TRAMADOL HYDROCHLORIDE
7605,SUPREP BOWEL PREP KIT,MAGNESIUM SULFATE; POTASSIUM SULFATE; SODIUM SULFATE
7606,ALSUMA,SUMATRIPTAN SUCCINATE
7607,SPRIX,KETOROLAC TROMETHAMINE
7608,ARCAPTA NEOHALER,INDACATEROL MALEATE
7609,PRANDIMET,METFORMIN HYDROCHLORIDE; REPAGLINIDE
7611,TYVASO,TREPROSTINIL
7612,ISTODAX,ROMIDEPSIN
7613,QUTENZA,CAPSAICIN
7614,DYLOJECT,DICLOFENAC SODIUM
7615,HORIZANT,GABAPENTIN ENACARBIL
7617,TWYNSTA,AMLODIPINE BESYLATE; TELMISARTAN
7621,CODEINE SULFATE,CODEINE SULFATE
7624,ORAVIG,MICONAZOLE
7625,CAPRELSA,VANDETANIB
7627,XARELTO,RIVAROXABAN
7631,VIBATIV,TELAVANCIN
7633,NATROBA,SPINOSAD
7638,OLEPTRO,TRAZODONE HYDROCHLORIDE
7640,APTIOM,ESLICARBAZEPINE ACETATE
7645,FIBRICOR,FENOFIBRIC ACID
7647,EFAVIRENZ 200MG SCORED TABLETS,EFAVIRENZ
7648,MIRAPEX ER,PRAMIPEXOLE DIHYDROCHLORIDE
7655,FLOWTUSS,GUAIFENESIN; HYDROCODONE BITARTRATE
7656,MULTAQ,DRONEDARONE HYDROCHLORIDE
7657,OSENI,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE
7663,ACUVAIL,KETOROLAC TROMETHAMINE
7664,MOXEZA,MOXIFLOXACIN HYDROCHLORIDE
7665,CETIRIZINE HYDROCHLORIDE ALLERGY,CETIRIZINE HYDROCHLORIDE
7666,CETIRIZINE HYDROCHLORIDE HIVES RELIEF,CETIRIZINE HYDROCHLORIDE
7669,LYSTEDA,TRANEXAMIC ACID
7670,H.P. ACTHAR GEL,REPOSITORY CORTICOTROPIN
7671,BRILINTA,TICAGRELOR
7673,ARGATROBAN IN SODIUM CHLORIDE,ARGATROBAN
7674,XERESE,ACYCLOVIR; HYDROCORTISONE
7676,ZUTRIPRO,CHLORPHENIRAMINE MALEATE; HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE
7677,REZIRA,HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE
7678,SUSTOL,GRANISETRON
7679,OFIRMEV,ACETAMINOPHEN
7680,TOPOTECAN HYDROCHLORIDE,TOPOTECAN HYDROCHLORIDE
7681,DATSCAN,IOFLUPANE I-123
7682,MAGNESIUM HYDROXIDE AND OMEPRAZOLE AND SODIUM BICARBONATE,MAGNESIUM HYDROXIDE; OMEPRAZOLE; SODIUM BICARBONATE
7684,ELELYSO,TALIGLUCERASE ALFA
7685,LAMIVUDINE/TENOFOVIR DISOPROXIL FUMARATE FDC TABS,LAMIVUDINE; TENOFOVIR
7686,JALYN,DUTASTERIDE; TAMSULOSIN HYDROCHLORIDE
7687,EFAVIRENZ,EFAVIRENZ
7690,GABLOFEN,BACLOFEN
7695,VOTRIENT,PAZOPANIB HYDROCHLORIDE
7697,ORABLOC,ARTICAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
7699,FOLOTYN,PRALATREXATE
7701,NEXCEDE,KETOPROFEN
7702,AFREZZA,INSULIN RECOMBINANT HUMAN
7706,ELLA,ULIPRISTAL ACETATE
7707,LAMIVUDINE AND STAVUDINE,LAMIVUDINE; STAVUDINE
7708,ZYCLARA,IMIQUIMOD
7710,ONMEL,ITRACONAZOLE
7713,SODIUM FLUORIDE F 18,SODIUM FLUORIDE F-18
7714,EXPAREL,BUPIVACAINE
7716,FORFIVO XL,BUPROPION HYDROCHLORIDE
7717,CLONIDINE,CLONIDINE
7718,NEXICLON XR,CLONIDINE
7720,LO LOESTRIN FE,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
7721,LO LOESTRIN FE,ETHINYL ESTRADIOL
7722,LO LOESTRIN FE,FERROUS FUMARATE
7724,METAXALONE,METAXALONE
7725,AXIRON,TESTOSTERONE
7726,EGRIFTA,TESAMORELIN ACETATE
7732,ABSTRAL,FENTANYL CITRATE
7738,VIMOVO,ESOMEPRAZOLE MAGNESIUM; NAPROXEN
7740,PRADAXA,DABIGATRAN ETEXILATE MESYLATE
7751,NOCDURNA,DESMOPRESSIN ACETATE
7753,DULERA,FORMOTEROL FUMARATE; MOMETASONE FUROATE
7756,DUEXIS,FAMOTIDINE; IBUPROFEN
7757,DALIRESP,ROFLUMILAST
7759,PANCREAZE,PANCRELIPASE (AMYLASE;LIPASE;PROTEASE)
7764,ZUPLENZ,ONDANSETRON
7766,NAMENDA XR,MEMANTINE HYDROCHLORIDE
7770,ADDYI,FLIBANSERIN
7771,GILENYA,FINGOLIMOD HYDROCHLORIDE
7773,BEYAZ,DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM
7774,DOCEFREZ,DOCETAXEL
7779,ESBRIET,PIRFENIDONE
7781,"LAMIVUDINE, NEVIRAPINE, AND STAVUDINE","LAMIVUDINE, NEVIRAPINE, AND STAVUDINE"
7783,VIOKACE,PANCRELIPASE (AMYLASE;LIPASE;PROTEASE)
7785,GRALISE,GABAPENTIN
7787,TEKAMLO,ALISKIREN HEMIFUMARATE; AMLODIPINE BESYLATE
7792,ZYMAXID,GATIFLOXACIN
7793,ADASUVE,LOXAPINE
7795,CYSVIEW KIT,HEXAMINOLEVULINATE HYDROCHLORIDE
7796,KARBINAL ER,CARBINOXAMINE MALEATE
7797,ATELVIA,RISEDRONATE SODIUM
7798,MAVENCLAD,CLADRIBINE
7799,CARBAGLU,CARGLUMIC ACID
7800,SORILUX,CALCIPOTRIENE
7801,ADVIL CONGESTION RELIEF,IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE
7802,VIIBRYD,VILAZODONE HYDROCHLORIDE
7806,LAZANDA,FENTANYL CITRATE
7809,CUVPOSA,GLYCOPYRROLATE
7810,MITOSOL,MITOMYCIN
7811,NORETHINDRONE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,ETHINYL ESTRADIOL; NORETHINDRONE
7812,SAFYRAL,DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM
7813,VPRIV,VELAGLUCERASE ALFA
7817,QSYMIA,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE
7821,PHOSLYRA,CALCIUM ACETATE
7822,METHAZOLAMIDE,METHAZOLAMIDE
7826,ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE
7827,HYDROXYZINE HYDROCHLORIDE,HYDROXYZINE HYDROCHLORIDE
7832,NEOSAR,CYCLOPHOSPHAMIDE
7838,DEXFERRUM,FERRIC OXYHYDROXIDE
7839,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE
7841,KIONEX,SODIUM POLYSTYRENE SULFONATE
7843,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE
7845,THEOPHYLLINE,THEOPHYLLINE
7846,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE
7855,EDROPHONIUM CHLORIDE PRESERVATIVE FREE,EDROPHONIUM CHLORIDE
7856,EDROPHONIUM CHLORIDE,EDROPHONIUM CHLORIDE
7857,QUINIDINE SULFATE,QUINIDINE SULFATE
7868,LEUCOVORIN CALCIUM PRESERVATIVE FREE,LEUCOVORIN CALCIUM
7871,PROCHLORPERAZINE,PROCHLORPERAZINE
7873,ROXILOX,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE
7876,ACETIC ACID 2% IN AQUEOUS ALUMINUM ACETATE,"ACETIC ACID, GLACIAL; ALUMINUM ACETATE"
7877,TROPICAMIDE,TROPICAMIDE
7878,PREDNISOLONE SODIUM PHOSPHATE,PREDNISOLONE SODIUM PHOSPHATE
7879,SULFACETAMIDE SODIUM,SULFACETAMIDE SODIUM
7881,DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE
7883,NAFAZAIR,NAPHAZOLINE HYDROCHLORIDE
7884,PROPARACAINE HYDROCHLORIDE,PROPARACAINE HYDROCHLORIDE
7885,PENTOLAIR,CYCLOPENTOLATE HYDROCHLORIDE
7887,THIAMINE HYDROCHLORIDE,THIAMINE HYDROCHLORIDE
7888,HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE
7889,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE
7890,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,ACETAMINOPHEN; HYDROCODONE BITARTRATE
7894,ESGIC-PLUS,ACETAMINOPHEN; BUTALBITAL; CAFFEINE
7898,ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM
7902,DIGOXIN PEDIATRIC,DIGOXIN
7909,HYDROCORTISONE AND ACETIC ACID,"ACETIC ACID, GLACIAL; HYDROCORTISONE"
7910,ACETAMINOPHEN AND CODEINE PHOSPHATE,ACETAMINOPHEN; CODEINE PHOSPHATE
7911,NORCO,ACETAMINOPHEN; HYDROCODONE BITARTRATE
7912,LORTAB,ACETAMINOPHEN; HYDROCODONE BITARTRATE
7913,PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE
7918,BENZTROPINE MESYLATE,BENZTROPINE MESYLATE
7922,OXYCODONE AND ACETAMINOPHEN,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE
7925,"ACETAMINOPHEN, CAFFEINE, AND DIHYDROCODEINE BITARTRATE",ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE
7926,MEPERIDINE HYDROCHLORIDE,MEPERIDINE HYDROCHLORIDE
7928,PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE
7929,CHLORZOXAZONE,CHLORZOXAZONE
7933,CARISOPRODOL AND ASPIRIN,ASPIRIN; CARISOPRODOL
7934,VICODIN HP,ACETAMINOPHEN; HYDROCODONE BITARTRATE
7935,"CARISOPRODOL, ASPIRIN AND CODEINE PHOSPHATE",ASPIRIN; CARISOPRODOL; CODEINE PHOSPHATE
7945,CARISOPRODOL,CARISOPRODOL
7946,THIORIDAZINE HYDROCHLORIDE,THIORIDAZINE HYDROCHLORIDE
7951,ESTROPIPATE,ESTROPIPATE
7954,HYDRALAZINE HYDROCHLORIDE,HYDRALAZINE HYDROCHLORIDE
7959,PROPOXYPHENE HYDROCHLORIDE AND ACETAMINOPHEN,ACETAMINOPHEN; PROPOXYPHENE HYDROCHLORIDE
7960,DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE
7964,WARFARIN SODIUM,WARFARIN SODIUM
7973,FLUPHENAZINE HYDROCHLORIDE,FLUPHENAZINE HYDROCHLORIDE
7983,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE
7985,TRIFLUOPERAZINE HYDROCHLORIDE,TRIFLUOPERAZINE HYDROCHLORIDE
7990,HYDROXYZINE PAMOATE,HYDROXYZINE PAMOATE
7993,MEDROXYPROGESTERONE ACETATE,MEDROXYPROGESTERONE ACETATE
